time,open,high,low,close,volume
1757421060,4363.97,4363.97,4363.97,4363.97,0.0
1757421120,4353.19,4363.96,4353.19,4363.96,0.1257
1757421180,4355.22,4355.22,4355.22,4355.22,0.0007
1757421240,4355.22,4355.22,4355.22,4355.22,0.0
1757421300,4355.22,4355.22,4355.22,4355.22,0.0
1757421360,4355.22,4355.22,4355.22,4355.22,0.0
1757421420,4355.22,4355.22,4355.22,4355.22,0.0
1757421480,4353.87,4363.91,4353.87,4363.91,0.0425
1757421540,4363.91,4363.91,4363.91,4363.91,0.0
1757421600,4357.34,4357.34,4351.41,4351.41,0.001
1757421660,4351.41,4351.41,4351.41,4351.41,0.0
1757421720,4351.41,4351.41,4351.41,4351.41,0.0
1757421780,4351.41,4351.41,4351.41,4351.41,0.0
1757421840,4342.01,4342.01,4342.01,4342.01,0.0204
1757421900,4342.01,4342.01,4342.01,4342.01,0.0
1757421960,4342.01,4342.01,4342.01,4342.01,0.0
1757422020,4345.42,4345.42,4345.42,4345.42,0.0007
1757422080,4345.42,4345.42,4345.42,4345.42,0.0
1757422140,4346.88,4346.88,4346.88,4346.88,0.0005
1757422200,4347.29,4347.29,4347.23,4347.23,0.0124
1757422260,4347.23,4347.23,4347.23,4347.23,0.0
1757422320,4347.23,4347.23,4347.23,4347.23,0.0
1757422380,4341.82,4341.82,4341.82,4341.82,0.0032
1757422440,4341.82,4341.82,4341.82,4341.82,0.0
1757422500,4341.82,4341.82,4341.82,4341.82,0.0
1757422560,4341.82,4341.82,4341.82,4341.82,0.0
1757422620,4341.82,4341.82,4341.82,4341.82,0.0
1757422680,4336.39,4336.39,4336.39,4336.39,0.2767
1757422740,4336.39,4336.39,4336.39,4336.39,0.0
1757422800,4349.15,4349.15,4349.15,4349.15,0.0459
1757422860,4349.15,4349.15,4349.15,4349.15,0.0
1757422920,4349.15,4349.15,4349.15,4349.15,0.0
1757422980,4349.15,4349.15,4349.15,4349.15,0.0
1757423040,4349.15,4349.15,4349.15,4349.15,0.0
1757423100,4349.15,4349.15,4349.15,4349.15,0.0
1757423160,4331.66,4349.63,4331.63,4349.63,0.3195
1757423220,4349.63,4349.63,4349.63,4349.63,0.0
1757423280,4332.1,4332.1,4332.1,4332.1,0.0046
1757423340,4332.1,4332.1,4332.1,4332.1,0.0
1757423400,4331.69,4331.69,4331.57,4331.57,0.0468
1757423460,4332.17,4332.17,4330.56,4330.56,0.0055
1757423520,4330.56,4330.56,4329.6,4329.6,0.0286
1757423580,4329.6,4329.6,4329.6,4329.6,0.0
1757423640,4329.6,4329.6,4329.6,4329.6,0.0
1757423700,4329.6,4329.6,4329.6,4329.6,0.0
1757423760,4329.6,4329.6,4329.6,4329.6,0.0
1757423820,4329.6,4329.6,4329.6,4329.6,0.0
1757423880,4332.0,4332.0,4332.0,4332.0,0.0035
1757423940,4329.58,4331.81,4328.33,4328.33,0.0306
1757424000,4331.85,4331.85,4331.85,4331.85,0.0008
1757424060,4345.96,4345.96,4345.96,4345.96,0.0009
1757424120,4345.96,4345.96,4345.96,4345.96,0.0
1757424180,4332.02,4332.02,4332.0,4332.0,0.5943
1757424240,4342.16,4342.16,4341.7,4341.7,0.1295
1757424300,4341.7,4341.7,4341.7,4341.7,0.0
1757424360,4340.4,4340.4,4330.13,4340.33,15.1281
1757424420,4340.32,4346.95,4340.26,4346.95,1.2859
1757424480,4340.26,4346.8,4340.26,4346.8,0.0391
1757424540,4346.7,4346.7,4346.7,4346.7,0.0069
1757424600,4346.93,4346.93,4346.93,4346.93,0.0116
1757424660,4346.93,4346.93,4346.93,4346.93,0.0
1757424720,4347.1,4349.99,4347.1,4349.99,0.0236
1757424780,4349.97,4349.97,4349.97,4349.97,0.0086
1757424840,4349.97,4349.97,4349.97,4349.97,0.0
1757424900,4338.42,4338.42,4338.42,4338.42,0.0005
1757424960,4338.42,4338.42,4338.42,4338.42,0.0
1757425020,4349.97,4350.0,4349.97,4350.0,4.2042
1757425080,4350.0,4350.0,4350.0,4350.0,0.0
1757425140,4350.0,4350.0,4350.0,4350.0,0.0
1757425200,4350.0,4350.0,4350.0,4350.0,0.0
1757425260,4354.26,4354.26,4347.17,4347.17,0.0046
1757425320,4347.17,4347.17,4347.17,4347.17,0.0
1757425380,4347.17,4347.17,4347.17,4347.17,0.0
1757425440,4355.07,4359.59,4355.07,4359.59,0.0274
1757425500,4359.59,4359.59,4359.59,4359.59,0.0
1757425560,4359.59,4359.59,4359.59,4359.59,0.0
1757425620,4359.59,4359.59,4359.59,4359.59,0.0
1757425680,4359.59,4359.59,4359.59,4359.59,0.0
1757425740,4359.59,4359.59,4359.59,4359.59,0.0
1757425800,4340.98,4340.98,4340.98,4340.98,0.0004
1757425860,4340.98,4340.98,4340.98,4340.98,0.0
1757425920,4355.71,4355.71,4355.71,4355.71,0.0021
1757425980,4355.71,4355.71,4355.71,4355.71,0.0
1757426040,4355.71,4355.71,4355.71,4355.71,0.0
1757426100,4355.71,4355.71,4355.71,4355.71,0.0
1757426160,4355.71,4355.71,4355.71,4355.71,0.0
1757426220,4355.71,4355.71,4355.71,4355.71,0.0
1757426280,4355.71,4355.71,4355.71,4355.71,0.0
1757426340,4355.71,4355.71,4355.71,4355.71,0.0
1757426400,4355.71,4355.71,4355.71,4355.71,0.0
1757426460,4337.21,4337.21,4329.58,4329.58,0.1171
1757426520,4329.1,4329.1,4319.32,4324.16,0.3099
1757426580,4318.18,4318.18,4313.79,4313.79,0.1312
1757426640,4312.25,4329.56,4311.11,4329.36,0.0637
1757426700,4328.83,4328.83,4328.83,4328.83,0.0005
1757426760,4329.38,4329.38,4324.97,4324.97,0.0048
1757426820,4321.93,4321.93,4321.93,4321.93,0.0102
1757426880,4321.93,4321.93,4321.93,4321.93,0.0
1757426940,4318.89,4321.93,4318.89,4321.93,2.4395
1757427000,4329.57,4329.58,4329.55,4329.58,0.0364
1757427060,4340.1,4340.1,4340.1,4340.1,0.0083
1757427120,4340.1,4340.1,4340.1,4340.1,0.0
1757427180,4314.98,4314.98,4314.98,4314.98,0.0253
1757427240,4314.98,4314.98,4314.98,4314.98,0.0
1757427300,4314.98,4314.98,4314.98,4314.98,0.0
1757427360,4314.98,4314.98,4314.98,4314.98,0.0
1757427420,4314.98,4314.98,4314.98,4314.98,0.0
1757427480,4314.98,4314.98,4314.98,4314.98,0.0
1757427540,4314.98,4314.98,4314.98,4314.98,0.0
1757427600,4314.98,4314.98,4314.98,4314.98,0.0
1757427660,4323.59,4323.59,4323.58,4323.58,0.0175
1757427720,4323.58,4323.58,4323.58,4323.58,0.0
1757427780,4323.58,4323.58,4323.58,4323.58,0.0
1757427840,4323.58,4323.58,4323.58,4323.58,0.0
1757427900,4323.58,4323.58,4323.58,4323.58,0.0
1757427960,4323.58,4323.58,4323.58,4323.58,0.0
1757428020,4323.58,4323.58,4323.58,4323.58,0.0
1757428080,4323.58,4323.58,4323.58,4323.58,0.0
1757428140,4323.58,4323.58,4323.58,4323.58,0.0
1757428200,4323.58,4323.58,4323.58,4323.58,0.0
1757428260,4323.58,4323.58,4323.58,4323.58,0.0
1757428320,4312.22,4312.22,4310.92,4310.92,0.2614
1757428380,4310.33,4310.33,4306.77,4306.77,0.0385
1757428440,4304.48,4307.19,4293.85,4306.91,9.3645
1757428500,4296.93,4296.93,4290.54,4296.7,0.041
